,com_1,com_2,icd10,cluster
441,-9.130846,-0.42419276,B463,236
442,0.81871057,-2.192884,B465,572
443,-1.3484589,7.79744,B468,541
444,-2.1495943,0.23651363,B469,-1
445,-7.9489307,-0.9906638,B470,-1
446,3.7596726,0.18205246,B471,523
447,0.49198708,-0.7171152,B479,675
448,3.100632,10.478086,B482,433
449,2.4063506,-2.4347007,B484,-1
450,-8.693886,11.706636,B487,187
451,-5.956286,0.3086151,B488,456
452,3.1382737,4.658212,B49,-1
453,-5.513998,11.375113,B500,-1
454,1.7995925,5.82365,B508,-1
455,5.6163135,4.414622,B509,466
456,7.021423,-3.8707528,B519,270
457,-7.9586506,11.3825,B520,186
458,15.5188,7.668847,B529,-1
459,4.2893944,8.282286,B54,447
460,2.2160554,2.9185412,B550,709
461,-6.6548843,-0.39321536,B559,-1
462,-0.63779455,6.389632,B561,651
463,2.0020854,16.027534,B570,133
464,3.4315953,4.629446,B580,617
465,3.480116,-0.08708947,B582,523
466,-11.741796,10.999144,B583,-1
467,-5.781174,2.2787833,B588,477
468,-6.827403,3.2180667,B589,336
469,3.5955262,5.068218,B59,-1
470,11.2577715,7.682311,B601,179
471,6.9521456,7.9292974,B608,-1
472,5.880959,-5.922373,B650,219
473,7.0694547,-6.1582437,B659,-1
474,2.8494718,5.938878,B660,545
475,4.8791933,8.360823,B663,-1
476,-4.5430083,6.457615,B664,468
477,9.041102,8.389353,B665,-1
478,7.765892,-3.7611182,B668,-1
479,5.290112,-10.5752125,B669,-1
480,0.06763325,10.966137,B674,388
481,-8.166264,10.270789,B678,92
482,2.2107677,6.7847385,B679,608
483,8.175991,-5.387346,B680,191
484,5.2859745,10.806478,B681,245
485,-0.084373094,-0.97251993,B689,655
486,-6.5196886,7.154636,B69,367
487,-5.104604,1.8189821,B690,-1
488,2.5957212,17.297045,B691,60
489,-6.5622144,1.2700499,B692,444
490,-4.849229,-4.750469,B698,-1
491,-4.391001,1.1580389,B699,497
492,-5.2591124,4.5164785,B701,543
493,-5.504248,-5.281804,B719,-1
494,-11.064072,7.3310747,B74,142
495,-8.239724,-5.6614637,B749,208
496,-4.93043,-6.212498,B75,215
497,2.4643407,11.585182,B760,431
498,14.669265,7.703244,B768,34
499,3.8469257,2.860976,B769,611
500,-2.9756474,5.3564425,B770,580
501,1.9149333,13.375419,B779,313
