,com_1,com_2,icd10,cluster
442,6.9567556,-4.734316,B56,-1
443,5.6328764,-5.047132,B570,-1
444,2.47691,7.8975434,B580,-1
445,1.8060409,-3.8098402,B581,250
446,-1.8358774,5.7437825,B582,448
447,10.910305,2.7386842,B583,-1
448,-1.4229958,3.3883646,B588,543
449,0.8081755,-0.17340952,B589,496
450,-1.9064914,3.2169082,B59,-1
451,-9.183555,6.399439,B601,49
452,1.5965328,15.745133,B608,95
453,-2.9280097,2.5734751,B660,524
454,-0.16854465,8.123201,B663,361
455,4.206288,9.559205,B664,-1
456,2.6315231,1.7559814,B665,588
457,12.03096,-0.29831824,B668,-1
458,-0.30445182,-2.5194943,B669,-1
459,3.6567454,0.3584778,B671,-1
460,4.090896,-10.316831,B674,31
461,6.091078,-5.730721,B675,-1
462,6.387489,9.777445,B678,287
463,1.1571054,-2.5695796,B679,283
464,3.8947005,0.6309449,B680,533
465,5.8311415,0.8284125,B681,410
466,-4.031419,1.4657182,B689,442
467,-1.1014307,4.0033956,B690,551
468,8.0589485,0.5157836,B691,375
469,10.111487,7.026263,B698,276
470,6.075066,-3.0873048,B699,327
471,-7.8414626,1.9924958,B701,200
472,8.919067,8.551773,B718,-1
473,3.0941684,7.881522,B719,-1
474,8.356065,0.5642631,B749,375
475,6.353166,0.9525403,B75,457
476,-1.3667289,11.672974,B760,-1
477,2.931445,4.764614,B768,627
478,0.4795309,5.8212566,B769,-1
479,0.8920591,4.9339232,B770,606
480,-0.7649276,-2.5003405,B778,-1
481,0.20890665,8.736191,B779,-1
482,-4.1028714,5.6770506,B780,-1
483,4.6156178,-4.92729,B781,202
484,5.6227984,4.4533057,B787,420
485,1.2280128,6.2283235,B789,-1
486,3.6833408,3.0742774,B79,579
487,3.8631363,9.400065,B80,-1
488,-1.1868211,3.3029091,B811,543
489,6.330322,8.941491,B813,287
490,-5.78774,10.632867,B814,117
491,-1.7228835,10.419528,B818,-1
492,6.668911,-4.7999854,B820,194
493,1.4294325,7.0727057,B829,-1
494,-5.7934046,4.8657665,B830,-1
495,3.0254898,6.1891875,B831,613
496,3.4150045,4.070427,B8310,-1
497,1.8276503,1.8620063,B832,590
498,5.004376,-4.9658775,B834,202
499,7.2725015,1.5169008,B838,-1
500,11.184831,4.4723544,B839,-1
501,-1.2146003,-1.3554305,B850,412
502,13.21868,-6.195595,B851,79
503,5.185218,0.89423996,B852,410
504,0.47522357,9.232832,B853,269
505,4.2244306,1.9547372,B86,535
506,11.1153145,4.631304,B869,-1
507,-2.6103644,12.503027,B871,-1
508,0.5146808,-6.0500784,B874,88
509,5.558128,-7.5026183,B878,92
510,-2.0246086,-3.4015253,B879,271
511,6.5018153,8.143256,B882,340
512,4.215727,11.781691,B888,-1
513,4.086332,2.251525,B889,-1
514,1.0009154,6.427888,B89,586
515,1.1487585,3.0321057,B900,-1
516,2.0567005,0.6832923,B901,593
517,0.06347534,8.23406,B902,-1
518,4.9238863,3.9151552,B908,-1
519,-2.7292137,1.0570875,B909,445
520,5.4490647,2.466438,B91,556
521,6.348649,1.8034216,B92,465
522,8.496981,0.4770382,B941,375
523,6.3302994,-6.7890863,B942,96
524,0.0687731,1.8063326,B948,478
525,10.854293,7.9182878,B949,278
526,5.591674,3.5262098,B950,569
527,1.1995349,2.657922,B951,584
528,3.9699492,6.942257,B952,453
529,-1.4810725,-0.26796225,B953,417
530,-3.8180444,1.8463516,B954,-1
531,1.2135922,5.784013,B955,598
532,-2.302051,2.8491168,B956,-1
533,2.3035135,5.3308206,B957,-1
534,4.3882527,6.306061,B958,429
535,6.1542454,-1.4272796,B960,-1
536,-1.3643346,-0.0015843292,B961,417
537,-0.3831998,12.339518,B962,209
538,6.1877704,6.9135695,B963,318
539,-1.9115456,2.7133732,B964,522
540,-1.7351654,2.7392209,B965,-1
541,5.566647,0.7099264,B966,410
542,4.649783,1.4732687,B967,-1
543,-4.708507,3.6296444,B968,-1
544,-3.8327608,-0.14868619,B9680,-1
545,2.6716354,7.112982,B9688,545
546,6.3361588,12.876793,B970,134
547,2.4646194,0.5870247,B971,-1
548,4.02266,-5.1209936,B973,202
549,6.496231,11.062635,B974,189
550,4.900119,10.132544,B976,-1
551,3.736455,7.3900867,B977,450
552,0.6897393,9.038746,B978,269
553,7.672559,1.5220892,B980,373
554,-2.102878,2.2054873,B99,522
555,7.921658,0.006099487,C000,375
556,-3.318671,3.5151772,C001,-1
557,7.577055,-6.8343506,C002,-1
558,2.143692,-5.0312314,C003,-1
559,2.1293561,-3.7866042,C004,251
560,6.309962,-3.4119668,C005,327
561,6.7276955,0.87274057,C006,460
562,9.889941,2.4916508,C009,-1
563,-2.4621549,3.8917348,C01,507
564,-0.32354078,-0.39371368,C020,-1
565,-1.3693609,4.683211,C021,-1
566,4.015345,-8.522755,C0211,86
567,0.24850258,1.2431597,C022,493
568,7.1016498,7.938743,C023,339
569,0.53412074,8.588672,C024,-1
570,4.799754,-2.9121194,C028,-1
571,-2.6640956,3.6283631,C029,506
572,-0.3839425,7.3150625,C030,462
573,-1.6184366,3.5642512,C031,502
574,-0.2088208,1.9276851,C039,478
575,-0.18965043,0.030840266,C040,-1
576,3.167983,2.1377504,C041,470
577,-4.2510395,15.325942,C048,6
578,-1.2552776,3.9450955,C049,551
579,-3.6384175,2.6979907,C050,-1
580,-1.3964641,5.0268793,C051,-1
581,10.796063,3.525453,C052,265
582,7.3152943,16.447676,C058,15
583,10.160756,11.001768,C059,-1
584,-2.376346,3.5925868,C060,503
585,13.220459,5.883248,C061,141
586,1.5424404,6.839785,C062,610
587,-9.512502,3.0363176,C068,-1
588,-1.7352786,-0.7104003,C069,-1
589,-1.0438488,3.8064034,C07,-1
590,16.076746,7.7653265,C080,-1
591,11.687244,1.3612238,C081,177
592,3.5465815,11.923704,C088,180
593,6.700736,12.559544,C089,-1
594,2.354931,3.007925,C090,617
595,-7.973384,4.7263346,C091,153
596,7.593066,7.89789,C098,339
597,-2.7824035,3.7010787,C099,506
598,-7.0634484,1.8255773,C100,-1
599,-9.290229,11.328911,C101,80
600,0.2667255,-0.44729936,C102,466
601,6.6355906,-2.6861644,C103,-1
602,10.51278,0.6879155,C108,170
603,-2.6799426,2.8536541,C109,524
604,-1.8140979,5.5911155,C110,448
605,1.6544405,3.8328884,C111,-1
606,-1.2084196,6.5572305,C112,509
607,0.114596836,1.2559836,C113,493
608,6.290703,-0.8757384,C118,382
609,-3.1778767,2.9535644,C119,-1
610,-3.4418156,4.118694,C12,407
611,-6.188639,-2.5813115,C120,-1
612,4.654715,-6.646851,C129,155
613,-0.13682404,-0.7066356,C130,466
614,1.3635365,4.046192,C131,-1
615,1.1663569,9.084009,C132,-1
616,14.491513,6.4891253,C138,73
617,-2.1250725,7.180498,C139,399
618,1.7883351,9.504659,C140,-1
619,15.689111,4.5837827,C141,42
620,10.690753,11.236273,C142,-1
621,-9.385376,10.966575,C148,81
622,-2.6390355,1.0760701,C150,445
623,-3.296176,8.889228,C151,260
624,5.7977743,3.175552,C152,-1
625,-0.767497,6.139319,C153,513
626,-3.7013314,3.5158865,C154,-1
627,-3.2880197,8.781896,C155,260
628,14.428543,6.376156,C158,73
629,-4.272113,4.5781684,C159,407
630,-6.240497,-2.4794226,C16,151
